Gene.id,Neutrophil,RBC,Bcell,Monocyte,CD4.Tcell,CD8.Tcell,Platelet
ENSG00000104921,-0.031068681,-0.03282366,0.003996752,-0.032276203,-0.032769525,-0.032666732,-0.032637245
ENSG00000100721,-0.030590591,-0.03282366,-0.011273171,-0.032792688,-0.032805858,-0.032769598,-0.032705359
ENSG00000240505,-0.032729283,-0.032821743,-0.026839972,-0.032816345,-0.032775071,-0.032801991,-0.03282366
ENSG00000187912,-0.028686684,-0.03282366,-0.019959588,-0.032139,-0.03277623,-0.032774556,-0.032786053
ENSG00000101017,-0.032044755,-0.032820967,-0.01994323,-0.030703115,-0.032608381,-0.032614917,-0.032514382
ENSG00000196735,-0.030816244,-0.03282366,0.013939671,-0.022199685,-0.030138146,-0.030198049,-0.03267959
ENSG00000152689,-0.032696589,-0.032640594,-0.028553421,-0.032797187,-0.032571846,-0.032640799,-0.032798787
ENSG00000211825,-0.025538089,-0.03282366,-0.023344297,-0.032653917,-0.032563492,-0.03260818,-0.032116379
ENSG00000065923,-0.032420346,-0.032821625,-0.026618517,-0.032539785,-0.032087031,-0.032334046,-0.032799692
ENSG00000254087,0.033100443,-0.032817057,0.036393414,0.002367989,-0.032246579,-0.032215996,-0.030984615
ENSG00000233308,-0.032805064,-0.03282366,-0.030792932,-0.032806851,-0.03282366,-0.03282366,-0.03282366
ENSG00000197943,-0.020767153,-0.03282366,-0.019769376,-0.029895441,-0.032644649,-0.031993059,-0.032785123
ENSG00000186265,-0.031729064,-0.03282366,-0.028046643,-0.032809611,-0.032238651,-0.032660171,-0.032813904
ENSG00000167604,-0.029360703,-0.03282366,-0.011042575,-0.017978626,-0.0309483,-0.030847751,-0.032710867
ENSG00000184293,-0.032425022,-0.03282366,-0.027348766,-0.032426278,-0.031520702,-0.032076554,-0.03282366
ENSG00000105246,-0.032794856,-0.03282366,-0.030971813,-0.03260117,-0.032792659,-0.032806543,-0.03282366
ENSG00000089127,-0.029301103,-0.03282366,-0.024074246,-0.024875485,-0.032150441,-0.032517101,-0.032595192
ENSG00000161405,-0.027926507,-0.03282366,-0.018868124,-0.032781276,-0.026426684,-0.02605625,-0.032728749
ENSG00000124243,-0.032461464,-0.032821865,-0.029132427,-0.03279512,-0.031927773,-0.031452691,-0.032801462
ENSG00000137265,-0.032109014,-0.03282366,-0.026272908,-0.032509558,-0.029986819,-0.030308263,-0.032780849
ENSG00000169508,-0.019190474,-0.03282366,0.077910785,-0.00094082,0.077055862,0.021542008,-0.032540748
ENSG00000204475,-0.030381411,-0.03282366,-0.025651887,-0.032730806,-0.031137718,-0.0292149,-0.032605407
ENSG00000189057,-0.032742907,-0.03282366,-0.031153315,-0.032819179,-0.032511095,-0.032738316,-0.03281121
ENSG00000124151,-0.025583807,-0.032804216,-0.007242033,-0.0282129,-0.02305146,-0.025417982,-0.032690572
ENSG00000237513,-0.03207679,-0.03282366,-0.02788098,-0.031802247,-0.031630257,-0.031697078,-0.03282366
ENSG00000026751,-0.026837987,-0.03282366,-0.022114269,-0.030190588,-0.0313631,-0.026943497,-0.03269678
ENSG00000145287,-0.028338936,-0.03282366,-0.017892371,-0.022353601,-0.027265523,-0.027535698,-0.032611458
ENSG00000196664,-0.032082352,-0.03282366,-0.031548943,-0.031949495,-0.03282366,-0.032821551,-0.032814427
ENSG00000162511,0.251005653,-0.032761286,0.367348179,0.261717064,0.168758377,0.115625124,-0.027851089
ENSG00000136286,-0.01832476,-0.03282288,-0.00183765,-0.003183685,-0.005161383,-0.008570465,-0.032666595
ENSG00000125726,-0.032660187,-0.03282366,-0.031374632,-0.03281801,-0.032052835,-0.032020251,-0.032792267
ENSG00000198833,-0.018061239,-0.032774471,0.000346807,-0.018651776,-0.017390034,-0.021268042,-0.031113985
ENSG00000111335,-0.028230739,-0.03282366,-0.026102811,-0.026173439,-0.02934341,-0.030616639,-0.032673939
ENSG00000115232,-0.01726999,-0.032331715,-0.010607368,-0.023731783,-0.014663109,-0.017050866,-0.032778006
ENSG00000073111,-0.032508886,-0.032797276,-0.03134231,-0.032758319,-0.031440501,-0.031767754,-0.032794226
ENSG00000134516,-0.016949267,-0.03282263,-0.013421228,-0.01986584,-0.017012847,-0.020050559,-0.032698963
ENSG00000197471,-0.022479161,-0.032770177,-0.020821606,-0.023447897,-0.025225947,-0.026746837,-0.032636349
ENSG00000234883,-0.032528219,-0.03282366,-0.031177226,-0.032634291,-0.032019252,-0.032068133,-0.03282366
ENSG00000121594,-0.032804313,-0.03282366,-0.031840423,-0.032785798,-0.032587388,-0.032600506,-0.03282366
ENSG00000121210,-0.024540839,-0.032276365,-0.018207126,-0.026919692,-0.021798673,-0.024749572,-0.032581041
ENSG00000114978,-0.010285094,-0.03271796,-0.000721493,-0.012891291,-0.008960805,-0.014929899,-0.031100376
ENSG00000224565,-0.032806444,-0.03282366,-0.032192219,-0.03282366,-0.03282366,-0.03282366,-0.03282366
ENSG00000112029,-0.032410018,-0.032802349,-0.031397645,-0.032649755,-0.031709002,-0.031860324,-0.032820524
ENSG00000167900,-0.032412661,-0.032695638,-0.030793148,-0.03220963,-0.031133894,-0.031902456,-0.03282366
ENSG00000224220,-0.032794384,-0.03282366,-0.032275534,-0.03282366,-0.03282366,-0.03282366,-0.03282366
ENSG00000068489,-0.032198237,-0.032763598,-0.031389665,-0.032187124,-0.032316332,-0.032538149,-0.032808925
