Gene.id,Adipose.Tissue,Bladder,Brain,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Pancreas,Pituitary,Skin,Small.Intestine,Stomach
ENSG00000170323,1.883781034,-0.009636016,-0.087674908,-0.046870073,-0.065697674,-0.047029895,-0.079973145,-0.086310344,-0.04839569,-0.053749495,0.041647535,-0.084218966,-0.086834743,-0.043871203,-0.066874628,-0.073744518
ENSG00000184811,-0.061067682,-0.087502623,-0.088273013,-0.087790131,-0.088114488,-0.088034176,-0.087962049,-0.088300764,-0.088287254,-0.08809996,-0.086464612,-0.088252491,-0.08829098,-0.087753039,-0.088050174,-0.088139698
ENSG00000151365,-0.049987265,-0.087634692,-0.088135637,-0.087661462,-0.087257878,-0.087481939,-0.087522782,-0.048976338,-0.088268029,-0.087353804,-0.084180677,-0.088003617,-0.088265114,-0.08451838,-0.088054763,-0.088113961
ENSG00000079435,0.11900418,-0.081847734,-0.081135893,-0.08372456,-0.085553387,-0.084345535,-0.085536283,-0.088045717,-0.086866604,-0.085105266,-0.076898436,-0.087526471,-0.085369708,-0.082253016,-0.083275721,-0.0865053
ENSG00000179914,-0.009265412,-0.088110485,-0.088278138,-0.073233624,-0.088147503,-0.066302061,-0.087820155,-0.087941141,-0.072339765,-0.088172342,-0.087980419,-0.088215445,-0.088147293,-0.08823123,-0.074328136,-0.086032877
ENSG00000100867,-0.088263522,0.209952098,-0.088108023,-0.088259812,-0.088256124,-0.08829886,-0.088067109,-0.084372297,-0.088201428,-0.088296826,-0.088196047,-0.086868676,-0.087335833,-0.087597774,-0.088263772,-0.087467055
ENSG00000226510,-0.088266818,-0.087501835,-0.088289571,-0.088288051,-0.088250599,-0.088300979,-0.088290913,-0.088297897,-0.088266976,-0.088305357,-0.088298374,-0.088301029,-0.088287038,-0.088183683,-0.088291204,-0.088303444
ENSG00000100373,-0.088288644,-0.058502484,-0.088255807,-0.088269061,-0.088287918,-0.088291775,-0.088292142,-0.088298876,-0.088264225,-0.086016223,-0.088283979,-0.088303363,-0.088065282,-0.088295455,-0.087964643,-0.088284017
ENSG00000131095,-0.087431775,-0.088129494,0.722411465,-0.087879422,-0.087993678,-0.08735074,-0.087946529,-0.08807831,-0.08773782,-0.087924651,-0.08220688,-0.088060754,-0.022410649,-0.087534724,-0.088001469,-0.088073528
ENSG00000168314,-0.08822279,-0.0882661,0.005646545,-0.088148682,-0.08826001,-0.088255147,-0.088272914,-0.088279926,-0.088121653,-0.088240677,-0.08771749,-0.088285111,-0.083875696,-0.088211234,-0.088256667,-0.088271668
ENSG00000132639,-0.08773137,-0.088116027,0.185383205,-0.086934139,-0.087799226,-0.087833893,-0.087935917,-0.088072123,-0.087194398,-0.088164934,-0.087905536,-0.087581103,-0.058130156,-0.087414696,-0.08732478,-0.087065706
ENSG00000155980,-0.088207781,-0.088142646,-0.004395297,-0.087324292,-0.087913428,-0.088212439,-0.088161597,-0.088284058,-0.088183747,-0.088257049,-0.086366067,-0.088183553,-0.079348768,-0.088154079,-0.087656821,-0.088007648
ENSG00000184221,-0.08825552,-0.08830579,-0.048390607,-0.088261119,-0.088276736,-0.088255302,-0.087482927,-0.088278734,-0.087977621,-0.088162627,-0.08785682,-0.088276883,-0.087019358,-0.088097634,-0.088253092,-0.088281862
ENSG00000162188,-0.088205706,-0.088169494,-0.019935315,-0.086556624,-0.087985248,-0.088212696,-0.088197186,-0.088206507,-0.088169236,-0.088236778,-0.08783095,-0.08822448,-0.072094225,-0.088052791,-0.087316523,-0.087981267
ENSG00000187730,-0.088181848,-0.088268434,-0.05937325,-0.088249233,-0.088220228,-0.088206931,-0.0882255,-0.088269526,-0.087992815,-0.088258097,-0.08822295,-0.088283191,-0.087214725,-0.088032762,-0.088243541,-0.088267646
ENSG00000171747,-0.087646292,-0.077762665,-0.087933293,0.23563534,-0.087151181,-0.088076055,-0.087859666,-0.070520579,-0.08758571,-0.087856242,-0.087196551,-0.081806979,-0.087735769,-0.087739092,0.158752734,-0.067779904
ENSG00000105388,-0.088263602,-0.088173181,-0.088292385,-0.017682642,-0.064719675,-0.088290674,-0.0882872,-0.088273966,-0.086867148,-0.088272343,-0.088263069,-0.088252314,-0.088256256,-0.087837878,-0.072121505,-0.085920012
ENSG00000125780,-0.088067555,-0.088212212,-0.088205772,-0.088221266,0.084534221,-0.088271002,-0.088258743,-0.088203638,-0.088156296,-0.088198289,-0.088166635,-0.088060318,-0.088215573,-0.074741443,-0.088211435,-0.088167047
ENSG00000171401,-0.0864549,0.102900633,-0.08746635,-0.086610368,5.113252697,-0.087382095,-0.087146685,-0.086785777,-0.085929966,-0.085731461,-0.086173963,-0.08428736,-0.086030331,-0.086537021,-0.086171732,-0.08641248
ENSG00000214711,-0.088281447,-0.08790912,-0.088279043,-0.08828659,-0.066655155,-0.088283111,-0.088242603,-0.08829657,-0.088248926,-0.088296975,-0.088262478,-0.088286908,-0.088227641,-0.088174407,-0.088218288,-0.088291204
ENSG00000183347,-0.088294458,-0.088226045,-0.088286382,-0.088295334,-0.057030257,-0.088299316,-0.088299844,-0.088293389,-0.088242211,-0.08826348,-0.088290902,-0.08829032,-0.088099745,-0.088217343,-0.088290025,-0.088291215
ENSG00000121552,-0.082686597,-0.080745526,-0.088044183,-0.087521095,0.439743944,-0.087641655,-0.087777946,-0.085233377,-0.080233315,-0.087882713,-0.085835888,-0.087802156,-0.087781127,-0.02930669,-0.087027261,-0.086228861
ENSG00000197353,-0.08821956,-0.088288876,-0.088300203,-0.088290651,-0.054390028,-0.087973904,-0.088288245,-0.088101768,-0.087697608,-0.088266662,-0.088265044,-0.088265542,-0.088283954,-0.083172427,-0.088282436,-0.087752938
ENSG00000136689,-0.084696981,-0.08156303,-0.088022302,-0.08753517,0.10368915,-0.087938182,-0.087984989,-0.051470211,-0.081221262,-0.087744169,-0.08746443,-0.08797762,-0.088000115,-0.065941202,-0.085837166,-0.085381509
